Tweet_ID,Tweet_Length_Words,Tweet_Length_Chars,Tweet_Punctuation_Count,Tweet_Has_URL,Tweet_Has_Short_URL,Tweet_Has_Emoji,Tweet_Has_User_Mentions,Tweet_Num_Mentions,Tweet_Num_Hashtags,Tweet_Num_Likes,Tweet_Num_Retweets,Tweet_Num_Replies,Tweet_Compound_Score,Tweet_Is_Reply,User_Time_on_Twitter,User_Followers,User_Friends,User_Is_Verified,User_Handle_Has_Number
977584224323518464,42,255,7,0,0,0,0,0,2,2,1,0,0.7346,1,52,780,780,0,1
974310494411538432,30,202,10,0,0,0,1,4,0,0,1,0,0.4215,1,132,4871,4871,0,0
973235209821937666,20,159,10,1,1,0,0,0,3,2,1,0,0.0,0,131,127566,127566,0,0
973218225566740482,24,143,6,0,0,0,0,0,0,3,1,0,0.4588,1,73,1100,1100,1,0
974954516595519488,31,211,18,1,1,0,1,3,0,2,1,0,0.8658,0,97,5060,5060,0,0
971791329989681152,13,88,7,1,1,0,0,0,0,2,1,2,0.0,0,54,741,741,0,0
969584085512339456,45,279,20,1,1,0,0,0,0,75,12,8,-0.7264,0,84,10219,10219,0,0
969722443286839296,27,206,12,1,1,0,0,0,3,2,1,0,-0.3818,0,76,2598,2598,0,0
954987016390930432,20,168,11,1,1,0,0,0,4,202,278,9,-0.4939,0,131,126855,126855,0,0
972558582964203520,45,310,16,0,0,0,1,2,0,1,1,1,-0.126,1,83,2279,2279,0,0
